2024-02-16 10:43:54,752 [31] INFO  Account Manager - Attempting to refresh RobotD1X | Last Use: 26/01/2024 22:36:07
2024-05-04 23:03:51,981 [50] INFO  Account Manager - Attempting to refresh IIDxmoniicBrand | Last Use: 27/02/2024 09:13:00
2024-05-06 15:00:53,982 [23] INFO  Account Manager - Attempting to refresh IIDxmoniicBrand | Last Use: 27/02/2024 09:13:00
2024-05-13 19:52:30,782 [65] INFO  Account Manager - Attempting to refresh IIDxmoniicBrand | Last Use: 27/02/2024 09:13:00
2024-05-14 09:27:25,215 [46] INFO  Account Manager - Attempting to refresh IIDxmoniicBrand | Last Use: 27/02/2024 09:13:00
2024-05-19 22:47:17,428 [51] INFO  Account Manager - Attempting to refresh pro55ninjalegends | Last Use: 27/04/2024 22:37:49
2024-05-21 11:33:53,323 [68] INFO  Account Manager - Attempting to refresh RobotD9X | Last Use: 01/05/2024 00:02:57
2024-05-21 11:33:59,525 [68] INFO  Account Manager - Attempting to refresh IIDxmoniicBrand | Last Use: 27/02/2024 09:13:00
2024-05-21 11:34:04,756 [69] INFO  Account Manager - Attempting to refresh pro55ninjalegends | Last Use: 27/04/2024 22:37:49
2024-05-22 19:05:37,581 [168] INFO  Account Manager - Attempting to refresh RobotD2X | Last Use: 02/05/2024 19:05:22
2024-05-22 19:05:43,133 [168] INFO  Account Manager - Attempting to refresh RobotD4X | Last Use: 02/05/2024 19:05:32
2024-05-23 16:37:40,988 [176] INFO  Account Manager - Attempting to refresh BigFanOfOGMinecraft | Last Use: 03/05/2024 16:37:18
2024-05-23 17:23:44,001 [67] INFO  Account Manager - Attempting to refresh BigFanOfOGMinecraft | Last Use: 03/05/2024 16:37:18
2024-05-23 18:31:28,217 [65] INFO  Account Manager - Attempting to refresh BigFanOfOGMinecraft | Last Use: 03/05/2024 16:37:18
2024-05-23 20:49:13,236 [71] INFO  Account Manager - Attempting to refresh BigFanOfOGMinecraft | Last Use: 03/05/2024 16:37:18
2024-05-24 09:22:25,100 [69] INFO  Account Manager - Attempting to refresh BigFanOfOGMinecraft | Last Use: 03/05/2024 16:37:18
2024-05-26 18:52:28,397 [71] INFO  Account Manager - Attempting to refresh RobotD10X | Last Use: 06/05/2024 14:55:59
2024-05-26 23:00:37,136 [70] INFO  Account Manager - Attempting to refresh RobotD6X | Last Use: 06/05/2024 21:27:36
2024-05-27 10:45:05,296 [72] INFO  Account Manager - Attempting to refresh RobotD6X | Last Use: 06/05/2024 21:27:36
2024-05-28 17:03:34,699 [50] INFO  Account Manager - Attempting to refresh IIDxmoniicBrand | Last Use: 27/02/2024 09:13:00
2024-05-29 09:31:06,323 [21] INFO  Account Manager - Attempting to refresh IIDxmoniicBrand | Last Use: 27/02/2024 09:13:00
2024-06-01 11:56:55,708 [59] INFO  Account Manager - Attempting to refresh IIDxmoniicBrand | Last Use: 27/02/2024 09:13:00
2024-06-12 10:41:43,010 [60] INFO  Account Manager - Attempting to refresh RobotD9X | Last Use: 21/05/2024 11:33:54
2024-06-12 10:41:48,953 [56] INFO  Account Manager - Attempting to refresh IIDxmoniicBrand | Last Use: 27/02/2024 09:13:00
2024-06-12 10:41:54,168 [56] INFO  Account Manager - Attempting to refresh pro55ninjalegends | Last Use: 21/05/2024 18:00:23
2024-06-12 10:41:59,318 [60] INFO  Account Manager - Attempting to refresh RobotD4X | Last Use: 22/05/2024 19:05:43
2024-06-21 19:17:36,171 [65] INFO  Account Manager - Attempting to refresh RobotD6X | Last Use: 01/06/2024 11:52:02
2024-06-21 19:17:41,639 [66] INFO  Account Manager - Attempting to refresh IIDxmoniicBrand | Last Use: 27/02/2024 09:13:00
2024-06-21 19:17:46,798 [61] INFO  Account Manager - Attempting to refresh pro55ninjalegends | Last Use: 21/05/2024 18:00:23
2024-06-22 12:44:41,643 [60] INFO  Account Manager - Attempting to refresh RobotD6X | Last Use: 01/06/2024 11:52:02
2024-06-22 12:44:47,119 [60] INFO  Account Manager - Attempting to refresh IIDxmoniicBrand | Last Use: 27/02/2024 09:13:00
2024-06-24 12:38:40,523 [106] INFO  Account Manager - Attempting to refresh BigFanOfOGMinecraft | Last Use: 04/06/2024 12:36:37
2024-06-29 13:11:23,008 [6] INFO  Account Manager - Attempting to refresh IIDxmoniicBrand | Last Use: 27/02/2024 09:13:00
2024-06-29 15:13:15,674 [70] INFO  Account Manager - Attempting to refresh IIDxmoniicBrand | Last Use: 27/02/2024 09:13:00
2024-07-05 17:01:53,338 [8] INFO  Account Manager - Attempting to refresh RobotD2X | Last Use: 13/06/2024 20:52:07
2024-07-05 17:01:59,434 [8] INFO  Account Manager - Attempting to refresh RobotD4X | Last Use: 13/06/2024 21:01:37
2024-07-05 17:02:05,244 [6] INFO  Account Manager - Attempting to refresh RobotD3X | Last Use: 13/06/2024 20:58:25
2024-07-06 16:00:29,143 [70] INFO  Account Manager - Attempting to refresh IIDxmoniicBrand | Last Use: 27/02/2024 09:13:00
2024-07-08 12:09:25,302 [38] INFO  Account Manager - Attempting to refresh RobotD1X | Last Use: 18/06/2024 12:09:17
2024-07-08 17:08:33,990 [69] INFO  Account Manager - Attempting to refresh RobotD1X | Last Use: 18/06/2024 12:09:17
2024-07-13 16:01:47,506 [172] INFO  Account Manager - Attempting to refresh IIDxmoniicBrand | Last Use: 27/02/2024 09:13:00
2024-07-13 19:06:19,478 [68] INFO  Account Manager - Attempting to refresh IIDxmoniicBrand | Last Use: 27/02/2024 09:13:00
2024-07-14 12:41:22,084 [5] INFO  Account Manager - Attempting to refresh BigFanOfOGMinecraft | Last Use: 24/06/2024 12:38:40
2024-07-16 11:27:01,075 [30] INFO  Account Manager - Attempting to refresh RobotD9X | Last Use: 26/06/2024 11:23:09
2024-07-18 12:10:02,527 [1] WARN  Account Manager - Restarting app due to config hash mismatch
[App.config]
	Current:  5E0BA1895CF088E6D6907B8ABBD8CD41C86F39CC642351A9AB0BF458BF1F5B31
	Expected: 2B6D99DB8369B0FF6372737D89D1C9E4101815B4168A3852C7B513F2897E7F3D
[log4.config]
	Current:  E4B10630D9EC2AF508DE31752FBBC6816C7426C40A3E57F0A085CE7F42C77BD5
	Expected: E4B10630D9EC2AF508DE31752FBBC6816C7426C40A3E57F0A085CE7F42C77BD5
2024-07-18 12:10:09,326 [19] INFO  Account Manager - -Command "Get-AppxPackage *Roblox* | Format-List -Property InstallLocation"
2024-07-18 12:10:10,600 [19] INFO  Account Manager -  | IsRoblox: False
2024-07-18 12:10:10,602 [19] INFO  Account Manager -  | IsRoblox: False
2024-07-18 12:10:10,622 [19] INFO  Account Manager - InstallLocation : C:\Program Files\WindowsApps\ROBLOXCORPORATION.ROBLOX_2.605.660.0_x64__55nm5eh3cm0pr | IsRoblox: True
2024-07-18 12:10:10,622 [19] INFO  Account Manager -  | IsRoblox: False
2024-07-18 12:10:10,622 [19] INFO  Account Manager -  | IsRoblox: False
2024-07-18 12:10:10,622 [19] INFO  Account Manager -  | IsRoblox: False
2024-07-18 12:10:10,660 [19] INFO  Account Manager - -Command "Get-AppxPackage ROBLOXCORPORATION.ROBLOX.* | Format-List -Property Name, PackageFullName"
